bez,lor_ab_2021,umonat,ustunde,uwochentag,ukategorie,uart,utyp1,ulichtverh,istrad,istpkw,istfuss,istkrad,istgkfz,istsonstige,ustrzustand,xgcswgs84,ygcswgs84,all_acc,perc_bike_acc,rushhours
9,9100203.0,1,8,3,3,5,3,0,1,1,0,0,0,0,1,13.47943434,52.4844972,2,0.5,08 to 12
7,7300619.0,1,16,3,3,2,2,2,0,1,0,0,0,0,1,13.35976037,52.474454,1,0.0,16 to 20
2,2500728.0,1,13,3,2,0,2,0,1,1,0,0,0,0,1,13.46599365,52.51452225,2,0.5,12 to 16
4,4200311.0,1,12,1,3,2,6,0,0,1,0,0,0,0,1,13.28219929,52.51011815,1,0.0,12 to 16
10,10300733.0,1,11,3,3,3,6,0,0,1,0,0,1,0,1,13.56343189,52.5079485,2,0.0,08 to 12
2,2400625.0,1,6,2,3,6,4,1,0,1,1,0,0,0,0,13.44767223,52.50372295,2,0.0,04 to 08
6,6400735.0,1,11,6,3,5,7,0,0,1,0,0,0,0,0,13.0970364,52.4132711,1,0.0,08 to 12
7,7400927.0,1,0,2,3,9,1,2,0,1,0,0,0,0,0,13.40847871,52.46140018,1,0.0,00 to 04
1,1401044.0,1,19,1,3,5,2,1,0,1,0,0,0,0,0,13.36730684,52.55149233,1,0.0,16 to 20
4,4200311.0,1,8,4,3,2,6,0,0,1,0,0,0,0,0,13.28032454,52.50034887,1,0.0,08 to 12
3,3400723.0,1,16,7,3,6,2,2,0,1,1,0,0,0,0,13.40357185,52.5692346,2,0.0,16 to 20
4,4100101.0,1,15,5,3,5,3,0,0,1,0,0,0,1,0,13.32298198,52.53766662,2,0.0,12 to 16
12,12100101.0,1,22,6,3,5,7,2,0,1,0,0,0,0,1,13.36477857,52.56057739,1,0.0,20 to 24
12,12500927.0,1,12,5,3,3,6,0,0,1,0,1,0,0,0,13.33252244,52.5977376,2,0.0,12 to 16
10,10400837.0,1,5,4,3,2,6,2,0,1,0,0,0,0,0,13.58320199,52.50517035,1,0.0,04 to 08
7,7400822.0,1,17,5,3,2,6,2,0,1,0,0,0,0,1,13.36702781,52.47208819,1,0.0,16 to 20
6,6100209.0,1,8,5,2,9,1,0,0,1,0,0,0,0,1,13.33024664,52.46248404,1,0.0,08 to 12
4,4200206.0,1,20,3,3,6,4,2,0,1,1,0,0,0,0,13.25848409,52.5085347,2,0.0,20 to 24
4,4100101.0,1,14,6,3,3,6,0,0,1,0,1,0,0,0,13.29925021,52.54624577,2,0.0,12 to 16
10,10100312.0,1,7,5,2,1,1,2,0,1,0,0,1,0,0,13.54012794,52.52232363,2,0.0,04 to 08
1,1100310.0,1,12,5,3,2,1,0,0,1,0,0,1,0,1,13.41602635,52.52215817,2,0.0,12 to 16
2,2100101.0,1,20,4,3,6,2,2,0,1,1,0,0,0,1,13.37479602,52.50308901,2,0.0,20 to 24
5,5200528.0,1,7,3,3,2,6,2,0,1,0,0,0,1,0,13.17875479,52.51643767,2,0.0,04 to 08
1,1401044.0,1,17,3,3,6,3,2,0,1,1,0,0,0,1,13.36758744,52.5512916,2,0.0,16 to 20
2,3601452.0,10,1,7,2,5,2,2,1,1,0,0,0,0,1,13.4477226,52.52658663,2,0.5,00 to 04
2,2400522.0,4,22,4,3,1,5,2,0,1,0,0,0,1,1,13.44456805,52.51668464,2,0.0,20 to 24
